WASH1	WASH7P	ENSG00000227232
ARHGEF16	ARHGEF16	ENSG00000130762
ARHGEF16	ARHGEF16	ENSG00000130762
ARHGEF16	ARHGEF16	ENSG00000130762
MEGF6	MEGF6	ENSG00000162591
MEGF6	MEGF6	ENSG00000162591
MEGF6	MEGF6	ENSG00000162591
MEGF6	MEGF6	ENSG00000162591
TPRG1L	TPRG1L	ENSG00000158109
TPRG1L	TPRG1L	ENSG00000158109
TPRG1L	TPRG1L	ENSG00000158109
TPRG1L	TPRG1L	ENSG00000158109
WRAP73	WRAP73	ENSG00000116213
WRAP73	WRAP73	ENSG00000116213
WRAP73	WRAP73	ENSG00000116213
WRAP73	WRAP73	ENSG00000116213
TP73	TP73	ENSG00000078900
TP73	TP73	ENSG00000078900
TP73	TP73	ENSG00000078900
TP73	TP73	ENSG00000078900
CCDC27	CCDC27	ENSG00000162592
CCDC27	CCDC27	ENSG00000162592
CCDC27	CCDC27	ENSG00000162592
CCDC27	CCDC27	ENSG00000162592
SMIM1	SMIM1	ENSG00000235169
SMIM1	SMIM1	ENSG00000235169
SMIM1	SMIM1	ENSG00000235169
SMIM1	SMIM1	ENSG00000235169
LRRC47		ENSG00000272153
LRRC47	LRRC47	ENSG00000130764
LRRC47	LRRC47	ENSG00000130764
LRRC47	LRRC47	ENSG00000130764
LRRC47	LRRC47	ENSG00000130764
CEP104	CEP104	ENSG00000116198
CEP104	CEP104	ENSG00000116198
CEP104	CEP104	ENSG00000116198
CEP104	CEP104	ENSG00000116198
DFFB	DFFB	ENSG00000169598
DFFB	DFFB	ENSG00000169598
DFFB	DFFB	ENSG00000169598
DFFB	DFFB	ENSG00000169598
C1orf174	C1orf174	ENSG00000198912
C1orf174	C1orf174	ENSG00000198912
C1orf174	C1orf174	ENSG00000198912
C1orf174	C1orf174	ENSG00000198912
AJAP1	AJAP1	ENSG00000196581
AJAP1	AJAP1	ENSG00000196581
AJAP1	AJAP1	ENSG00000196581
AJAP1	AJAP1	ENSG00000196581
NegCtrl		ENSG00000236948
NPHP4	NPHP4	ENSG00000131697
NPHP4	NPHP4	ENSG00000131697
NPHP4	NPHP4	ENSG00000131697
NPHP4	NPHP4	ENSG00000131697
KCNAB2	KCNAB2	ENSG00000069424
KCNAB2	KCNAB2	ENSG00000069424
KCNAB2	KCNAB2	ENSG00000069424
KCNAB2	KCNAB2	ENSG00000069424
CHD5	CHD5	ENSG00000116254
CHD5	CHD5	ENSG00000116254
CHD5	CHD5	ENSG00000116254
CHD5	CHD5	ENSG00000116254
RPL22	RPL22	ENSG00000116251
RPL22		ENSG00000285629
RPL22	RPL22	ENSG00000116251
RPL22		ENSG00000285629
RNF207	RPL22	ENSG00000116251
RNF207	RNF207	ENSG00000158286
RNF207	RPL22	ENSG00000116251
RNF207	RNF207	ENSG00000158286
RNF207	RPL22	ENSG00000116251
RNF207	RNF207	ENSG00000158286
RNF207	RNF207	ENSG00000158286
ICMT	ICMT	ENSG00000116237
ICMT	ICMT	ENSG00000116237
ICMT	ICMT	ENSG00000116237
ICMT	ICMT-DT	ENSG00000225077
ICMT	ICMT	ENSG00000116237
HES3	HES3	ENSG00000173673
HES3	HES3	ENSG00000173673
HES3	HES3	ENSG00000173673
HES3	HES3	ENSG00000173673
GPR153	GPR153	ENSG00000158292
GPR153	GPR153	ENSG00000158292
GPR153	GPR153	ENSG00000158292
GPR153	GPR153	ENSG00000158292
ACOT7	ACOT7	ENSG00000097021
ACOT7	ACOT7	ENSG00000097021
ACOT7	ACOT7	ENSG00000097021
ACOT7	ACOT7	ENSG00000097021
HES2	HES2	ENSG00000069812
HES2	HES2	ENSG00000069812
HES2	HES2	ENSG00000069812
HES2	HES2	ENSG00000069812
ESPN	ESPN	ENSG00000187017
ESPN	ESPN	ENSG00000187017
ESPN		ENSG00000231868
ESPN	ESPN	ENSG00000187017
ESPN		ENSG00000231868
ESPN	ESPN	ENSG00000187017
TNFRSF25	TNFRSF25	ENSG00000215788
TNFRSF25	TNFRSF25	ENSG00000215788
TNFRSF25	TNFRSF25	ENSG00000215788
TNFRSF25	TNFRSF25	ENSG00000215788
PLEKHG5	PLEKHG5	ENSG00000171680
PLEKHG5	PLEKHG5	ENSG00000171680
PLEKHG5	PLEKHG5	ENSG00000171680
PLEKHG5	PLEKHG5	ENSG00000171680
NOL9	NOL9	ENSG00000162408
NOL9	NOL9	ENSG00000162408
NOL9	NOL9	ENSG00000162408
NOL9	NOL9	ENSG00000162408
TAS1R1	TAS1R1	ENSG00000173662
TAS1R1	TAS1R1	ENSG00000173662
TAS1R1	TAS1R1	ENSG00000173662
TAS1R1	TAS1R1	ENSG00000173662
ZBTB48	ZBTB48	ENSG00000204859
ZBTB48	ZBTB48	ENSG00000204859
ZBTB48	ZBTB48	ENSG00000204859
KLHL21	KLHL21	ENSG00000162413
KLHL21	KLHL21	ENSG00000162413
KLHL21	KLHL21	ENSG00000162413
KLHL21	KLHL21	ENSG00000162413
PHF13	PHF13	ENSG00000116273
PHF13	PHF13	ENSG00000116273
PHF13	PHF13	ENSG00000116273
PHF13	PHF13	ENSG00000116273
THAP3	THAP3	ENSG00000041988
THAP3	THAP3	ENSG00000041988
THAP3	THAP3	ENSG00000041988
THAP3	THAP3	ENSG00000041988
DNAJC11	DNAJC11	ENSG00000007923
DNAJC11	DNAJC11	ENSG00000007923
DNAJC11	DNAJC11	ENSG00000007923
DNAJC11	DNAJC11	ENSG00000007923
CAMTA1	CAMTA1	ENSG00000171735
CAMTA1	CAMTA1	ENSG00000171735
CAMTA1	CAMTA1	ENSG00000171735
CAMTA1	CAMTA1	ENSG00000171735
VAMP3	VAMP3	ENSG00000049245
VAMP3	VAMP3	ENSG00000049245
VAMP3	VAMP3	ENSG00000049245
VAMP3	VAMP3	ENSG00000049245
PER3	PER3	ENSG00000049246
PER3	PER3	ENSG00000049246
PER3		ENSG00000236266
PER3	PER3	ENSG00000049246
PER3		ENSG00000236266
PER3	PER3	ENSG00000049246
PER3		ENSG00000236266
UTS2	UTS2	ENSG00000049247
UTS2	UTS2	ENSG00000049247
UTS2	UTS2	ENSG00000049247
UTS2	UTS2	ENSG00000049247
TNFRSF9	TNFRSF9	ENSG00000049249
TNFRSF9	TNFRSF9	ENSG00000049249
TNFRSF9	TNFRSF9	ENSG00000049249
TNFRSF9	TNFRSF9	ENSG00000049249
PARK7	PARK7	ENSG00000116288
PARK7	PARK7	ENSG00000116288
PARK7	PARK7	ENSG00000116288
PARK7	PARK7	ENSG00000116288
ERRFI1	ERRFI1	ENSG00000116285
ERRFI1	ERRFI1	ENSG00000116285
ERRFI1	ERRFI1	ENSG00000116285
ERRFI1	ERRFI1	ENSG00000116285
SLC45A1	SLC45A1	ENSG00000162426
SLC45A1	SLC45A1	ENSG00000162426
SLC45A1	SLC45A1	ENSG00000162426
SLC45A1	SLC45A1	ENSG00000162426
RERE	RERE	ENSG00000142599
RERE	RERE	ENSG00000142599
RERE	RERE	ENSG00000142599
RERE	RERE	ENSG00000142599
ENO1	ENO1	ENSG00000074800
ENO1	ENO1	ENSG00000074800
ENO1	ENO1	ENSG00000074800
ENO1	ENO1	ENSG00000074800
CA6	CA6	ENSG00000131686
CA6	CA6	ENSG00000131686
CA6	CA6	ENSG00000131686
CA6	CA6	ENSG00000131686
SLC2A7	SLC2A7	ENSG00000197241
SLC2A7	SLC2A7	ENSG00000197241
SLC2A7	SLC2A7	ENSG00000197241
SLC2A7	SLC2A7	ENSG00000197241
SLC2A5	SLC2A5	ENSG00000142583
SLC2A5	SLC2A5	ENSG00000142583
SLC2A5	SLC2A5	ENSG00000142583
SLC2A5	SLC2A5	ENSG00000142583
GPR157	GPR157	ENSG00000180758
GPR157	GPR157	ENSG00000180758
GPR157	GPR157	ENSG00000180758
GPR157	GPR157	ENSG00000180758
H6PD	H6PD	ENSG00000049239
H6PD	H6PD	ENSG00000049239
H6PD	H6PD	ENSG00000049239
H6PD	H6PD	ENSG00000049239
SPSB1	SPSB1	ENSG00000171621
SPSB1	SPSB1	ENSG00000171621
SPSB1	SPSB1	ENSG00000171621
SPSB1	SPSB1	ENSG00000171621
SLC25A33	SLC25A33	ENSG00000171612
SLC25A33	SLC25A33	ENSG00000171612
SLC25A33	SLC25A33	ENSG00000171612
TMEM201	TMEM201	ENSG00000188807
TMEM201	TMEM201	ENSG00000188807
TMEM201	TMEM201	ENSG00000188807
TMEM201	TMEM201	ENSG00000188807
C1orf200	PIK3CD-AS1	ENSG00000179840
C1orf200	PIK3CD	ENSG00000171608
C1orf200	PIK3CD-AS1	ENSG00000179840
C1orf200	PIK3CD	ENSG00000171608
C1orf200	PIK3CD-AS1	ENSG00000179840
C1orf200	PIK3CD	ENSG00000171608
C1orf200	PIK3CD-AS1	ENSG00000179840
C1orf200	PIK3CD	ENSG00000171608
PIK3CD	PIK3CD	ENSG00000171608
PIK3CD	PIK3CD	ENSG00000171608
PIK3CD	PIK3CD	ENSG00000171608
PIK3CD	PIK3CD	ENSG00000171608
CLSTN1	CLSTN1	ENSG00000171603
CLSTN1	CLSTN1	ENSG00000171603
CLSTN1	CLSTN1	ENSG00000171603
CLSTN1	CLSTN1	ENSG00000171603
CTNNBIP1	CTNNBIP1	ENSG00000178585
CTNNBIP1	CTNNBIP1	ENSG00000178585
CTNNBIP1	CTNNBIP1	ENSG00000178585
CTNNBIP1	CTNNBIP1	ENSG00000178585
LZIC	LZIC	ENSG00000162441
LZIC	LZIC	ENSG00000162441
LZIC	LZIC	ENSG00000162441
LZIC	LZIC	ENSG00000162441
NMNAT1	NMNAT1	ENSG00000173614
NMNAT1	NMNAT1	ENSG00000173614
NMNAT1	NMNAT1	ENSG00000173614
NMNAT1	NMNAT1	ENSG00000173614
RBP7	RBP7	ENSG00000162444
RBP7	RBP7	ENSG00000162444
RBP7	RBP7	ENSG00000162444
RBP7	RBP7	ENSG00000162444
UBE4B	UBE4B	ENSG00000130939
UBE4B	UBE4B	ENSG00000130939
UBE4B	UBE4B	ENSG00000130939
UBE4B	UBE4B	ENSG00000130939
KIF1B	KIF1B	ENSG00000054523
KIF1B	KIF1B	ENSG00000054523
KIF1B	KIF1B	ENSG00000054523
KIF1B	KIF1B	ENSG00000054523
PGD	PGD	ENSG00000142657
PGD	PGD	ENSG00000142657
PGD	PGD	ENSG00000142657
PGD	PGD	ENSG00000142657
APITD1	CENPS-CORT	ENSG00000251503
APITD1	CENPS	ENSG00000175279
APITD1-CORT	CENPS-CORT	ENSG00000251503
APITD1-CORT	CENPS	ENSG00000175279
APITD1-CORT	CENPS-CORT	ENSG00000251503
APITD1-CORT	CENPS	ENSG00000175279
APITD1	CENPS-CORT	ENSG00000251503
APITD1	CENPS	ENSG00000175279
APITD1-CORT	CENPS-CORT	ENSG00000251503
APITD1-CORT	CENPS	ENSG00000175279
APITD1	CENPS-CORT	ENSG00000251503
APITD1	CENPS	ENSG00000175279
CORT	CORT	ENSG00000241563
CORT	CENPS-CORT	ENSG00000251503
CORT	CORT	ENSG00000241563
CORT	CENPS-CORT	ENSG00000251503
CORT	CORT	ENSG00000241563
CORT	CENPS-CORT	ENSG00000251503
CORT	CORT	ENSG00000241563
CORT	CENPS-CORT	ENSG00000251503
APITD1-CORT	CORT	ENSG00000241563
APITD1-CORT	CENPS-CORT	ENSG00000251503
DFFA	DFFA	ENSG00000160049
DFFA	DFFA	ENSG00000160049
DFFA	DFFA	ENSG00000160049
DFFA	DFFA	ENSG00000160049
DFFA	PEX14	ENSG00000142655
PEX14	PEX14	ENSG00000142655
PEX14	PEX14	ENSG00000142655
PEX14	PEX14	ENSG00000142655
PEX14	PEX14	ENSG00000142655
CASZ1	CASZ1	ENSG00000130940
CASZ1	CASZ1	ENSG00000130940
CASZ1	CASZ1	ENSG00000130940
CASZ1	CASZ1	ENSG00000130940
C1orf127	C1orf127	ENSG00000175262
C1orf127	C1orf127	ENSG00000175262
C1orf127	C1orf127	ENSG00000175262
C1orf127	C1orf127	ENSG00000175262
CFL1	CFL1P6	ENSG00000215785
TARDBP	TARDBP	ENSG00000120948
TARDBP	TARDBP	ENSG00000120948
TARDBP	TARDBP	ENSG00000120948
TARDBP	TARDBP	ENSG00000120948
TARDBP	MASP2	ENSG00000009724
MASP2	TARDBP	ENSG00000120948
MASP2	MASP2	ENSG00000009724
MASP2	MASP2	ENSG00000009724
MASP2	MASP2	ENSG00000009724
MASP2	MASP2	ENSG00000009724
SRM	SRM	ENSG00000116649
SRM	SRM	ENSG00000116649
SRM	SRM	ENSG00000116649
SRM	SRM	ENSG00000116649
EXOSC10	EXOSC10	ENSG00000171824
EXOSC10	EXOSC10	ENSG00000171824
EXOSC10	EXOSC10	ENSG00000171824
EXOSC10	EXOSC10	ENSG00000171824
ANGPTL7	ANGPTL7	ENSG00000171819
ANGPTL7	MTOR	ENSG00000198793
ANGPTL7	ANGPTL7	ENSG00000171819
ANGPTL7	MTOR	ENSG00000198793
ANGPTL7	ANGPTL7	ENSG00000171819
ANGPTL7	MTOR	ENSG00000198793
ANGPTL7	ANGPTL7	ENSG00000171819
ANGPTL7	MTOR	ENSG00000198793
MTOR	MTOR	ENSG00000198793
MTOR	MTOR	ENSG00000198793
MTOR	MTOR	ENSG00000198793
MTOR	MTOR	ENSG00000198793
UBIAD1	UBIAD1	ENSG00000120942
UBIAD1	UBIAD1	ENSG00000120942
UBIAD1	UBIAD1	ENSG00000120942
UBE2V2	UBE2V2P3	ENSG00000238199
UBE2V2	UBIAD1	ENSG00000120942
UBIAD1	UBIAD1	ENSG00000120942
PTCHD2		ENSG00000285833
PTCHD2	DISP3	ENSG00000204624
PTCHD2		ENSG00000285833
PTCHD2	DISP3	ENSG00000204624
PTCHD2	DISP3	ENSG00000204624
PTCHD2	DISP3	ENSG00000204624
FBXO2	FBXO2	ENSG00000116661
FBXO2	FBXO2	ENSG00000116661
FBXO2	FBXO2	ENSG00000116661
FBXO2	FBXO2	ENSG00000116661
FBXO44	FBXO44	ENSG00000132879
FBXO44	FBXO44	ENSG00000132879
FBXO44	FBXO44	ENSG00000132879
FBXO44	FBXO44	ENSG00000132879
FBXO6	MAD2L2	ENSG00000116670
FBXO6	FBXO6	ENSG00000116663
FBXO6	MAD2L2	ENSG00000116670
FBXO6	FBXO6	ENSG00000116663
FBXO6	MAD2L2	ENSG00000116670
FBXO6	FBXO6	ENSG00000116663
FBXO6	MAD2L2	ENSG00000116670
FBXO6	FBXO6	ENSG00000116663
MAD2L2	MAD2L2	ENSG00000116670
MAD2L2	MAD2L2	ENSG00000116670
MAD2L2	MAD2L2	ENSG00000116670
MAD2L2	MAD2L2	ENSG00000116670
DRAXIN	DRAXIN	ENSG00000162490
DRAXIN	DRAXIN	ENSG00000162490
DRAXIN	DRAXIN	ENSG00000162490
DRAXIN	DRAXIN	ENSG00000162490
AGTRAP	AGTRAP	ENSG00000177674
AGTRAP	AGTRAP	ENSG00000177674
AGTRAP	AGTRAP	ENSG00000177674
AGTRAP	AGTRAP	ENSG00000177674
C1orf167	C1orf167	ENSG00000215910
C1orf167	C1orf167	ENSG00000215910
C1orf167	C1orf167	ENSG00000215910
C1orf167	C1orf167	ENSG00000215910
MTHFR	MTHFR	ENSG00000177000
MTHFR	MTHFR	ENSG00000177000
MTHFR	MTHFR	ENSG00000177000
MTHFR	MTHFR	ENSG00000177000
CLCN6	CLCN6	ENSG00000011021
CLCN6	CLCN6	ENSG00000011021
CLCN6	CLCN6	ENSG00000011021
CLCN6	CLCN6	ENSG00000011021
NPPA	NPPA	ENSG00000175206
